update,lr
904,8.776699029126215e-06
905,8.786407766990292e-06
906,8.79611650485437e-06
907,8.805825242718448e-06
908,8.815533980582525e-06
909,8.825242718446603e-06
910,8.834951456310681e-06
911,8.844660194174759e-06
912,8.854368932038836e-06
913,8.864077669902912e-06
914,8.873786407766992e-06
915,8.88349514563107e-06
916,8.893203883495145e-06
917,8.902912621359225e-06
918,8.912621359223301e-06
919,8.922330097087379e-06
920,8.932038834951458e-06
921,8.941747572815534e-06
922,8.951456310679613e-06
923,8.96116504854369e-06
924,8.970873786407767e-06
925,8.980582524271847e-06
926,8.990291262135923e-06
927,9e-06
928,9.009708737864078e-06
929,9.019417475728156e-06
930,9.029126213592233e-06
931,9.038834951456311e-06
932,9.048543689320389e-06
933,9.058252427184466e-06
934,9.067961165048544e-06
935,9.077669902912622e-06
936,9.0873786407767e-06
937,9.097087378640777e-06
938,9.106796116504855e-06
939,9.116504854368933e-06
940,9.12621359223301e-06
941,9.135922330097088e-06
942,9.145631067961166e-06
943,9.155339805825244e-06
944,9.165048543689321e-06
945,9.174757281553399e-06
946,9.184466019417477e-06
947,9.194174757281554e-06
948,9.203883495145632e-06
949,9.21359223300971e-06
950,9.223300970873788e-06
951,9.233009708737865e-06
952,9.242718446601943e-06
953,9.25242718446602e-06
954,9.262135922330098e-06
955,9.271844660194176e-06
956,9.281553398058252e-06
957,9.291262135922331e-06
958,9.30097087378641e-06
959,9.310679611650487e-06
960,9.320388349514565e-06
961,9.33009708737864e-06
962,9.33980582524272e-06
963,9.349514563106798e-06
964,9.359223300970874e-06
965,9.368932038834953e-06
966,9.37864077669903e-06
967,9.388349514563107e-06
968,9.398058252427186e-06
969,9.407766990291262e-06
970,9.41747572815534e-06
971,9.427184466019418e-06
972,9.436893203883495e-06
973,9.446601941747575e-06
974,9.45631067961165e-06
975,9.466019417475729e-06
976,9.475728155339806e-06
977,9.485436893203884e-06
978,9.495145631067962e-06
979,9.50485436893204e-06
980,9.514563106796117e-06
981,9.524271844660195e-06
982,9.533980582524273e-06
983,9.54368932038835e-06
984,9.553398058252428e-06
985,9.563106796116506e-06
986,9.572815533980583e-06
987,9.582524271844661e-06
988,9.592233009708739e-06
989,9.601941747572816e-06
990,9.611650485436894e-06
991,9.621359223300972e-06
992,9.63106796116505e-06
993,9.640776699029127e-06
994,9.650485436893205e-06
995,9.660194174757283e-06
996,9.669902912621359e-06
997,9.679611650485438e-06
998,9.689320388349516e-06
999,9.699029126213594e-06
1000,9.708737864077671e-06
1001,9.718446601941747e-06
1002,9.728155339805827e-06
1003,9.737864077669904e-06
1004,9.74757281553398e-06
1005,9.75728155339806e-06
1006,9.766990291262138e-06
1007,9.776699029126214e-06
1008,9.786407766990293e-06
1009,9.796116504854369e-06
1010,9.805825242718447e-06
1011,9.815533980582526e-06
1012,9.825242718446602e-06
1013,9.834951456310681e-06
1014,9.844660194174757e-06
1015,9.854368932038835e-06
1016,9.864077669902915e-06
1017,9.87378640776699e-06
1018,9.883495145631068e-06
1019,9.893203883495146e-06
1020,9.902912621359224e-06
1021,9.912621359223301e-06
1022,9.922330097087379e-06
1023,9.932038834951457e-06
1024,9.941747572815535e-06
1025,9.951456310679612e-06
1026,9.96116504854369e-06
1027,9.970873786407768e-06
1028,9.980582524271845e-06
1029,9.990291262135923e-06
1030,1e-05
1031,9.999999935574456e-06
1032,9.999999742297823e-06
1033,9.999999420170105e-06
1034,9.999998969191312e-06
1035,9.999998389361456e-06
1036,9.999997680680551e-06
1037,9.999996843148617e-06
1038,9.999995876765671e-06
1039,9.999994781531743e-06
1040,9.99999355744686e-06
1041,9.999992204511052e-06
1042,9.999990722724355e-06
1043,9.999989112086805e-06
1044,9.999987372598447e-06
1045,9.999985504259325e-06
1046,9.999983507069487e-06
1047,9.99998138102898e-06
1048,9.999979126137866e-06
1049,9.999976742396198e-06
1050,9.99997422980404e-06
1051,9.999971588361455e-06
1052,9.999968818068513e-06
